,basis_func_name,run,n_components,n_train,input_dim,output_dim,kind,distance
0,random,0,32,256,1,64,weight,7.60624441686913
1,random,0,32,256,1,64,decoupled,0.5603981004683216
2,quadrature,0,32,256,1,64,weight,0.37102412185645994
3,quadrature,0,32,256,1,64,decoupled,0.4537792907506736
4,random,1,32,256,1,64,weight,5.255886701471302
5,random,1,32,256,1,64,decoupled,0.5325960393462311
6,quadrature,1,32,256,1,64,weight,0.3015588588250949
7,quadrature,1,32,256,1,64,decoupled,0.42293466655184453
8,random,2,32,256,1,64,weight,12.681587678552583
9,random,2,32,256,1,64,decoupled,0.5472745824416403
10,quadrature,2,32,256,1,64,weight,0.4075784611299259
11,quadrature,2,32,256,1,64,decoupled,0.5014629767949332
12,random,3,32,256,1,64,weight,5.120771976153517
13,random,3,32,256,1,64,decoupled,0.2730612932958174
14,quadrature,3,32,256,1,64,weight,0.53923240259492
15,quadrature,3,32,256,1,64,decoupled,0.6372620005093139
16,random,4,32,256,1,64,weight,14.164960097614848
17,random,4,32,256,1,64,decoupled,0.6463552349317684
18,quadrature,4,32,256,1,64,weight,0.4878178778383573
19,quadrature,4,32,256,1,64,decoupled,0.5816182277702725
20,random,5,32,256,1,64,weight,10.392279664525264
21,random,5,32,256,1,64,decoupled,0.48990607083378845
22,quadrature,5,32,256,1,64,weight,0.2987761741307594
23,quadrature,5,32,256,1,64,decoupled,0.3972172922379081
24,random,6,32,256,1,64,weight,8.283662645373196
25,random,6,32,256,1,64,decoupled,0.47735678822300326
26,quadrature,6,32,256,1,64,weight,0.52952852764405
27,quadrature,6,32,256,1,64,decoupled,0.5741073792926004
28,random,7,32,256,1,64,weight,3.184692007838102
29,random,7,32,256,1,64,decoupled,0.2929244549334012
30,quadrature,7,32,256,1,64,weight,0.4487637108276095
31,quadrature,7,32,256,1,64,decoupled,0.5394138549872205
32,random,8,32,256,1,64,weight,12.94664068600263
33,random,8,32,256,1,64,decoupled,0.4647915515132469
34,quadrature,8,32,256,1,64,weight,0.31649680051356904
35,quadrature,8,32,256,1,64,decoupled,0.4202246796324076
36,random,9,32,256,1,64,weight,14.843026568518315
37,random,9,32,256,1,64,decoupled,0.5277494119278722
38,quadrature,9,32,256,1,64,weight,0.3597750178831881
39,quadrature,9,32,256,1,64,decoupled,0.44911913222523553
